# NetHack-es bulk C translations: msgid<TAB>msgstr
# Format: one entry per line, tab-separated
# Lines starting with # are comments
%s smiles %s at your %sdisplaced image...	%s sonrie %s a tu %simagen desplazada...
%s%s!	¡%s%s!
%s.	%s.
%s doesn't seem to notice that %s gaze was reflected.	%s no parece notar que su mirada fue reflejada.
There's a gaping hole under you!	¡Hay un agujero abierto bajo ti!
KAABLAMM!!!  You triggered %s land mine!	¡KAABLAMM!!!  ¡Has activado una mina terrestre %s!
immune_to_trap: null monster	immune_to_trap: monstruo nulo
float up, out of the %s!	¡flotas hacia arriba, fuera del %s!
float away from the %s.	flotas lejos del %s.
gain control over your movements.	recuperas el control de tus movimientos.
begin to tumble in place.	empiezas a dar vueltas en el sitio.
Bummer!  You've crashed.	¡Maldicion!  Has chocado.
fall over.	caes.
Bummer!  You've %s.	¡Maldicion!  Has %s.
float gently to the %s.	flotas suavemente hasta el %s.
free your %s.	libera tu %s.
suddenly yearn for %s.	de repente anias %s.
hit lava and burn up!	¡golpeas la lava y ardes!	# placeholder
sink like %s.	te hundes como %s.
touch bottom.	tocas fondo.
try to crawl out of the %s.	intenta gatear fuera del %s.
dump some of your gear to lose weight...	tira parte de tu equipo para perder peso...
Fortunately, you don't move %s it.	Afortunadamente, no te mueves %s el.
disarm it!	¡desactivala!
find a trap on %s!	¡encuentras una trampa en %s!
There's a trap on %s.	Hay una trampa en %s.
find no traps on %s.	no encuentras trampas en %s.
know of no traps there.	no conoces ninguna trampa ahi.
This door is safely open.	Esta puerta esta abierta con seguridad.
find a trap on the door!	¡encuentras una trampa en la puerta!
This door was not trapped.	Esta puerta no tenia trampa.
find no traps on the door.	no encuentras trampas en la puerta.
set it off!	¡activala!
caused %ld %s worth of damage!	¡causo %ld %s de dano!
bad chest trap	trampa de cofre erronea
fall into the %s!	¡cae al %s!
l_nhcore_init failed	l_nhcore_init fallo
nh_lua_variables is not a lua table	nh_lua_variables no es una tabla lua
TEST:{ x=%i, y=%i, name="%s" }	TEST:{ x=%i, y=%i, name="%s" }
Resetting time to move #%ld.	Reiniciando tiempo para mover #%ld.
package not a table in nhl_set_package_path	paquete no es una tabla en nhl_set_package_path
nhl_loadlua: Error opening %s	nhl_loadlua: Error abriendo %s
luaL_loadbuffer: Error loading %s: %s	luaL_loadbuffer: Error cargando %s: %s
Room at (%d,%d),(%d,%d).	Sala en (%d,%d),(%d,%d).
doormax=%d doorct=%d fdoor=%d	doormax=%d doorct=%d fdoor=%d
shkname: "%s" is not a shopkeeper.	shkname: "%s" no es un tendero.
bad disclosure index %d %c	indice de divulgacion incorrecto %d %c
Fruit is now "%s".	La fruta es ahora "%s".
Can't note branch for unseen level (%d, %d)	No se puede anotar rama para nivel no visto (%d, %d)
Feature change alerts disabled for NetHack %s features and prior.	Alertas de cambio de caracteristicas desactivadas para NetHack %s y anteriores.
oc_to_str:  illegal object class %d	oc_to_str: clase de objeto ilegal %d
out of menu map space.	sin espacio de mapa de menu.
Autopickup: %s.	Autorecogida: %s.
escaping vault without guard?	¿escapando de la camara acorazada sin guardia?
Not a single corridor on this level?	¿Ni un solo corredor en este nivel?
Puzzled, %s turns around and leaves.	Confundido, %s se da la vuelta y se va.
%s huffs and turns to leave.	%s resopla y se va a salir.
I'll be back when you're ready to speak to me!	¡Volvere cuando estes listo para hablar conmigo!
Oh, yes, of course.  Sorry to have disturbed you.	Oh, si, por supuesto.  Perdon por haberte molestado.
Please report these messages to %s.	Por favor, informa de estos mensajes a %s.
catching up for leashed monster?	¿poniendose al dia con monstruo atado?
steed left behind?	¿corcel dejado atras?
new_light_source:  illegal range %d	new_light_source: rango ilegal %d
del_light_source:type=none	del_light_source:tipo=ninguno
write_ls: bad type (%d)	write_ls: tipo incorrecto (%d)
wield %s in your bare %s.	empunias %s con tu %s desnuda.
now have no ammunition readied.	ahora no tienes muncion preparada.
already have no ammunition readied!	¡ya no tienes muncion preparada!
That ammunition is already readied!	¡Esa muncion ya esta preparada!
now wield %s.	ahora empunias %s.
%s aren't able to use two weapons at once.	%s no es capaz de usar dos armas a la vez.
%s isn't one-handed.	%s no es de una mano.
%s being held second to another weapon!	¡%s siendo sujetada segunda a otra arma!
switch to your primary weapon.	cambias a tu arma principal.
rolefilterstring: bad role aspect (%d)	rolefilterstring: aspecto de rol incorrecto (%d)
role_menu_extra: bad arg (%d)	role_menu_extra: arg incorrecto (%d)
%s can't reach the %s.	%s no puede alcanzar el %s.
What would you write?  "Jonah was here"?	¿Que escribiras?  "¿Jonah estuvo aqui"?
This %s is a wand of digging!	¡Este %s es una vara de excavar!
This %s is a wand of fire!	¡Este %s es una vara de fuego!
This %s is a wand of lightning!	¡Este %s es una vara de rayo!
%s would get %s.	%s obtendria %s.
%s can only scratch the %s.	%s solo puede rasguñar el %s.
%s too dull for engraving.	%s demasiado desafilado para grabar.
wipe out the message here.	borrar el mensaje de aqui.
%s can't wipe out this engraving.	%s no puede borrar este grabado.
tickle %s with %s.	hace cosquillas a %s con %s.
gesture, with your wand, towards the %s below you.	gesticulas, con tu vara, hacia el %s bajo ti.
make a motion towards the altar with %s.	hace un movimiento hacia el altar con %s.
%s %sturns to dust.	%s %sse convierte en polvo.
wipe out the message that was %s here.	borrar el mensaje que %s estaba aqui.
One of %s gets dull.	Uno de %s se desafila.
%s gets dull.	%s se desafila.
run out of room to write.	se queda sin espacio para escribir.
engraving sanity: on plane of air/water	cordura de grabado: en plano de aire/agua
Error in del_engr?	¿Error en del_engr?
add_mon_to_reg: %s [#%u] already in region.	add_mon_to_reg: %s [#%u] ya esta en la region.
bump into %s.  Ouch!	¡chocas contra %s.  Ay!
cough and spit blood!	¡toses y escupes sangre!
cough!	¡tose!
create_gas_cloud: cloud too large (%d)!	create_gas_cloud: ¡nube demasiado grande (%d)!
kick %s.	empate %s.
Thanks for the tip, %s.	Gracias por el consejo, %s.
%s, you are a thief!	¡%s, eres un ladron!
Dumb move!  You strain a muscle.	¡Movimiento tonto!  Te rotas un musculo.
kick the door.	empate la puerta.
%s!!	¡%s!!
Crash!  %s a secret door!	¡Crash!  ¡%s una puerta secreta!
%s falls from the tree!	¡%s cae del arbol!
%ld %s got caught in the branches.	%ld %s quedaron atrapados en las ramas.
Klunk!  The pipes vibrate noisily.	¡Klunk!  Las tuberias vibran ruidosamente.
There's not enough room to kick down here.	No hay suficiente espacio para patear aqui abajo.
There's not enough room to kick in here.	No hay suficiente espacio para patear aqui.
splash some %s around.	rocia algo de %s alrededor.
From the impact, %s other %s.	Por el impacto, %s otro %s.
n_rects may be too small.	n_rects puede ser demasiado pequeno.
lookat: unknown method of seeing monster	lookat: metodo desconocido de ver monstruo
I've never heard of such things.	Nunca he oido de tales cosas.
No traps seen or remembered%s.	No se ven ni recuerdan trampas%s.
No engravings seen or remembered%s.	No se ven ni recuerdan grabados%s.
Cannot open "%s" data file!	¡No se puede abrir el archivo de datos "%s"!
%s,	%s,
No such command '%s', char code %d (0%03o or 0x%02x).	No existe el comando '%s', codigo de caracter %d (0%03o o 0x%02x).
%s says, "Good hunting, %s."	%s dice: "Buena caza, %s."
%s%s.	%s%s.
%s the %s and disappears.	%s el %s y desaparece.
%s into the %s.	%s en el %s.
%s into some heavy metal!	¡%s en metal pesado!
%s %s %s the iron bars.	%s %s %s los barrotes de hierro.
unknown shk/gd/pri_move return value (%d)	valor de retorno shk/gd/pri_move desconocido (%d)
return to level %d in %s%s.	vuelve al nivel %d en %s%s.
%s %s %s into the %s.	%s %s %s en el %s.
%s boulder %s into the pit%s.	%s roca %s en el foso%s.
%s into %s pit.	%s en %s foso.
%s up as %s the hot ground.	%s arriba cuando %s el suelo caliente.
%s %s on the altar.	%s %s en el altar.
thought %s got lost in the sink, but there it is!	¡pensaste que %s se perdio en el fregadero, pero ahi esta!
Several %s buzz angrily around the sink.	Varios %s zumban furiosos alrededor del fregadero.
Suddenly, %s %s from the sink!	¡De repente, %s %s del fregadero!
some %s in the sink.	algo de %s en el fregadero.
For some reason, you cannot %s%s the stone%s!	¡Por algun motivo, no puedes %s%s la piedra%s!
%s %s the %s.	%s %s el %s.
(monster in hero's way)	(monstruo en el camino del heroe)
%s %s up%s the %s.	%s %s arriba%s el %s.
%s smoke...	%s humo...
%s rises from the dead%s!	¡%s resucita%s de entre los muertos!
%s disappears%s!	¡%s desaparece%s!
Startled, %s drops %s as it %s!	¡Asustado, %s deja caer %s mientras %s!
%s writhes out of %s!	¡%s se retuerce fuera de %s!
%s %s out of %s in your pack!	¡%s %s fuera de %s en tu mochila!
%s escapes from %s!	¡%s escapa de %s!
revive_corpse: lost corpse @ %d	revive_corpse: cadaver perdido @ %d
%s%s	%s%s
%s doesn't feel like a good idea right now.	a %s no le parece buena idea ahora mismo.
Thine audience hath been summoned, %s!	¡Tu audiencia ha sido convocada, %s!
By thine Imperious order, %s...	Por tu orden imperiosa, %s...
%s won't offer %s lap.	%s no ofrece su regazo.
coil up around your %shoard.	se enrosca alrededor de tu %stesoro.
coil up around %s.	se enrosca alrededor de %s.
sit down on a spike.  Ouch!	se sienta sobre un pincho.  ¡Ay!
sit in the spider web and get entangled further!	¡se sienta en la telarana y se enreda mas!
sit in the %s!	¡se sienta en %s!
sit in the %s.	se sienta en el %s.
Placebc collision at %s:%d, already placed by %s:%d	Colision Placebc en %s:%d, ya colocado por %s:%d
Unplacebc_and_covet_placebc denied to %s:%d, restricted by %s:%d	Unplacebc_and_covet_placebc denegado a %s:%d, restringido por %s:%d
drop %s and %s %s down the stairs with you.	deja caer %s y %s %s por las escaleras contigo.
Punished without %s%s%s?	¿Castigado sin %s%s%s?
Attached %s%s%s without being Punished?	¿%s%s%s adjunto sin estar Castigado?
uball: type %d (%s), where %d, wornmask=0x%08lx	uball: tipo %d (%s), donde %d, wornmask=0x%08lx
uchain: type %d (%s), where %d, wornmask=0x%08lx	uchain: tipo %d (%s), donde %d, wornmask=0x%08lx
b&c distance: you@<%d,%d>, chain@<%d,%d>, ball@<%d,%d>	distancia b&c: tu@<%d,%d>, cadena@<%d,%d>, bola@<%d,%d>
put_saddle_on_mon: saddle obj could get orphaned	put_saddle_on_mon: la silla podria quedar huerfana
%s resists%s!	¡%s resiste%s!
%s magically floats up!	¡%s flota magicamente!
and %s take flight together.	y %s despegan juntos.
%s off of %s!	¡%s fuera de %s!
%s falls into the %s!	¡%s cae en el %s!
%s won't move!	¡%s no se mueve!
trying to place %s at <%d,%d> mstate:%lx on %s	intentando colocar %s en <%d,%d> mstate:%lx sobre %s
placing %s onto map, mstate:%lx, on %s?	colocando %s en el mapa, mstate:%lx, sobre %s?
placing %s over %s at <%d,%d>, mstates:%lx %lx on %s?	colocando %s sobre %s en <%d,%d>, mstates:%lx %lx sobre %s?
%s%s %s poisoned!	¡%s%s %s envenenado!
check_version() called with 'complain'=True but 'filename'=Null	check_version() llamado con 'complain'=True pero 'filename'=Null
Version mismatch for file "%s".	Version incompatible para el archivo "%s".
Configuration incompatibility for file "%s".	Incompatibilidad de configuracion para "%s".
%s %s %s%s%s!	¡%s %s %s%s%s!
%s as %s throws it!	¡%s cuando %s lo lanza!
monster throwing egg type %d	tipo de huevo lanzado por monstruo %d
There's %s sticky all over your %s.	Tienes %s pegajoso por todo tu %s.
%s %s onto the sink.	%s %s en el fregadero.
%s to %s %s!	¡%s a %s %s!
%s back to %s, landing %s %s %s.	%s de vuelta a %s, aterrizando %s %s %s.
%s land near %s.	%s aterrizan cerca de %s.
bad attack type in spitmm	tipo de ataque erroneo en spitmm
Tried to make a room of type %d.	Se intento crear una sala de tipo %d.
invalid_shop_shape: no squares inside door?	invalid_shop_shape: ¿sin casillas dentro de la puerta?
probtype error, oclass=%d i=%d	error de probtype, oclass=%d i=%d
invalid alteration type (%d)	tipo de alteracion invalido (%d)
start_glob_timeout for non-glob [%d: %s]?	start_glob_timeout para no glob [%d: %s]?
shrink_glob for non-glob [%d: %s]?	shrink_glob para no glob [%d: %s]?
%s %s%s lighter.	%s %s%s mas ligero.
%s %s %s%s.	%s %s %s%s.
making corpstat type %d	creando corpstat tipo %d
unpaid object migrating to another level? [%s]	¿objeto no pagado migrando a otro nivel? [%s]
dealloc_obj: obj already deleted (type=%d)	dealloc_obj: obj ya borrado (tipo=%d)
%s %s out.	%s %s fuera.
%s %s to the %s.	%s %s al %s.
monst (%s: %u) wielding %s (%u) not in %s inventory	monst (%s: %u) empunando %s (%u) no esta en el inventario de %s
%s obj %s in container %s, not %s	obj %s %s en contenedor %s, no %s
obj_nexto: wasn't given an object to check	obj_nexto: no se dio un objeto para comprobar
obj_absorb: not called with two actual objects	obj_absorb: no llamado con dos objetos reales
obj_meld: not called with two actual objects	obj_meld: no llamado con dos objetos reales
As %s opens the bottle, an enormous %s emerges!	¡Cuando %s abre la botella, emerge un enorme %s!
%s with %s!	¡%s con %s!
%s %s %s directed at you!	¡%s %s %s dirigido a ti!
Being confused, %s mispronounces the magic words...	Estando confuso, %s pronuncia mal las palabras magicas...
%s crash through the %s.	%s atraviesa %s.
As %s climbs the stairs, a mysterious force momentarily surrounds %s...	Cuando %s sube las escaleras, una fuerza mistica le rodea momentaneamente...
%s wanted to perform action %d?	¿%s queria realizar la accion %d?
%s takes a picture of you with %s!	¡%s te saca una foto con %s!
%s body takes on a %s transparency.	el cuerpo de %s adquiere una %s transparencia.
%s fails to wrap around %s.	%s no logra envolver %s.
%s wraps around %s you're wielding!	¡%s se enrosca alrededor de %s que empunias!
For some reason, %s presence is known to you.	Por algun motivo, conoces la presencia de %s.
%s triggers %s fire trap!	¡%s activa la trampa de fuego %s!
%s %s %s %s fire trap!	¡%s %s %s %s trampa de fuego!
%s quaffs a burning %s	%s bebe un %s ardiente
%s from your %s.	%s de tu %s.
%s to write the Great Yendorian Novel, but %s inspiration.	%s escribir la Gran Novela Yendoriana, pero %s inspiracion.
%sproduce really %s fan-fiction.	%sproduce %s fan-ficcion de verdad.
%s to write that.	%s escribir eso.
write in your best handwriting:  "My Diary", but it quickly fades.	escribes con tu mejor letra:  "Mi Diario", pero se desvanece rapido.
write "%s" and the scroll disappears.	escribes "%s" y el pergamino desaparece.
fail to write the scroll correctly and it disappears.	no logras escribir el pergamino correctamente y desaparece.
display_monster:  bad m_ap_type value [ = %d ]	display_monster:  valor m_ap_type erroneo [ = %d ]
display_warning did not match warning type?	¿display_warning no coincide con el tipo de aviso?
show_glyph:  bad pos <%d,%d> with glyph %d [%s %d].	show_glyph:  pos erronea <%d,%d> con glifo %d [%s %d].
show_glyph:  bad glyph %d [max %d] at <%d,%d>.	show_glyph:  glifo erroneo %d [max %d] en <%d,%d>.
Strange db-under: %d	Extraño db-under: %d
back_to_glyph:  unknown level type [ = %d ]	back_to_glyph:  tipo de nivel desconocido [ = %d ]
swallow_to_glyph: bad swallow location	swallow_to_glyph: ubicacion de tragar erronea
zapdir_to_glyph:  illegal beam type	zapdir_to_glyph:  tipo de rayo ilegal
null framecolor passed to get_bkglyph_and_framecolor	framecolor nulo pasado a get_bkglyph_and_framecolor
set_wall_state: %s @ (%d,%d) %s%s%s%s	set_wall_state: %s @ (%d,%d) %s%s%s%s
set_wall_type: wall mode problems with: 	set_wall_type: problemas de modo muro con: 
%s %d;	%s %d;
wall_angle: unknown T wall mode %d	wall_angle: modo de muro T desconocido %d
wall_angle: unknown vwall mode %d	wall_angle: modo vwall desconocido %d
wall_angle: unknown hwall mode %d	wall_angle: modo hwall desconocido %d
wall_angle: unknown %s mode %d	wall_angle: modo %s desconocido %d
wall_angle: bottom of crwall check	wall_angle: final de comprobacion crwall
wall_angle: unknown crosswall mode	wall_angle: modo crosswall desconocido
wall_angle: unexpected wall type %d	wall_angle: tipo de muro inesperado %d
Cannot get status of MAIL="%s".	No se puede obtener el estado de MAIL="%s".
This place's too crowded.  I'm outta here.	Este lugar esta muy lleno.  Me largo.
%s, %s!  %s.	¡%s, %s!  %s.
Hark!  "%s."	¡Oye!  "%s."
fake mail #%d has undefined substitution	el correo falso #%d tiene una sustitucion no definida
%s%s"	%s%s"
Cannot get status of MAIL="%s" anymore.	Ya no se puede obtener el estado de MAIL="%s".
This message is from '%s'.	Este mensaje es de '%s'.
"%s"%s	"%s"%s
avoid harm.	evita el dano.
Wait!  There's %s there you can't see!	¡Espera!  ¡Hay %s ahi que no puedes ver!
Wait!  There's %s hiding under %s!	¡Espera!  ¡Hay %s escondido bajo %s!
caitiff!	¡bellaco!
dishonorably attack the innocent!	¡ataca deshonrosamente al inocente!
stop.  %s is in the way!	para.  ¡%s esta en medio!
%s doesn't seem to move!	¡%s no parece moverse!
begin bashing monsters with %s.	empieza a golpear monstruos con %s.
begin %s monsters with your %s %s.	empieza a %s monstruos con tu %s %s.
hitum_cleave: unknown target direction [%d,%d,%d]?	hitum_cleave: ¿direccion de objetivo desconocida [%d,%d,%d]?
break %s.  That's bad luck!	romper %s.  ¡Eso es mala suerte!
succeed in destroying %s.  Congratulations!	¡logras destruir %s.  Enhorabuena!
%s %s over %s!	¡%s %s sobre %s!
dishonorably use a poisoned weapon!	¡usa deshonrosamente un arma envenenada!
joust %s%s	justa %s%s
%s shatters on impact!	¡%s se hace pedazos al impactar!
%s %s%s	%s %s%s
%s appears confused.	%s parece confuso.
%s %s %s%s%s.	%s %s %s%s%s.
%s %s%s%s.	%s %s%s%s.
%s %s %s %s!	¡%s %s %s %s!
charm %s.  %s gladly hands over %s%s possessions.	hechiza a %s.  %s entrega gustosamente sus %s posesiones.
seduce %s and %s starts to take off %s clothes.	seduces a %s y %s empieza a quitarse su ropa.
%s finishes taking off %s suit.	%s termina de quitarse su traje.
%s %s to pieces!	¡%s %s en pedazos!
rust!	¡oxido!
rot!	¡putrefaccion!
go up in flames!	¡ardes en llamas!
grab %s's gold, but find no room in your knapsack.	agarras el oro de %s, pero no queda sitio en tu mochila.
%s steals some gold from %s.	%s roba algo de oro a %s.
%s blinds you!	¡%s te ciega!
Some writing vanishes from %s head!	¡Unas palabras desaparecen de la cabeza de %s!
chuckle.	se rie.
%s %s was poisoned!	¡%s %s fue envenenado!
%s doesn't seem harmed.	%s no parece danado.
suck in some slime and don't feel very well.	tragas algo de limo y no te encuentras muy bien.
%s yourself around %s!	¡%s alrededor de %s!
drown %s...	ahoga %s...
brush against %s.	roza contra %s.
brush against %s %s.	roza contra %s %s.
%s %s itself around you!	¡%s %s a tu alrededor!
%s drowns you...	%s te ahoga...
%s brushes against %s.	%s roza contra %s.
momentarily stiffen.	te quedas rigido un momento.
turn %s into slime.	convierte %s en limo.
escape harm.	escapa del dano.
%s less effective.	%s menos efectivo.
%s slows down.	%s se ralentiza.
%s looks confused.	%s parece confuso.
Was that the touch of death?	¿Fue eso el toque de la muerte?
bad shade attack function flow?	¿flujo de funcion de ataque shade erroneo?
hissing.	siseando.
%s appears to be blowing you a kiss...	%s parece estar lanzandote un beso...
%s seems to grimace.	%s parece hacer una mueca.
Doc, I can't help you unless you cooperate.	Doc, no puedo ayudarte a menos que colabores.
%s %s for a moment.	%s %s por un momento.
%s tries to reach your %s %s!	¡%s intenta alcanzar tu %s %s!
%s pricks the exposed part of your %s %s!	¡%s pincha la parte expuesta de tu %s %s!
%s pricks through your %s boot!	¡%s pincha a traves de tu bota %s!
%s scratches your %s boot!	¡%s rasguña tu bota %s!
%s pricks your %s %s!	¡%s pincha tu %s %s!
%s tries to %s you, but you seem %s.	%s intenta %ste, pero pareces %s.
%s steals %s from %s!	¡%s roba %s a %s!
destroy it!	¡destruyelo!
%s is affected by your flash of light!	¡%s es afectado por tu destello de luz!
%s %s%s!	¡%s %s%s!
%s it, then %s it.	%s lo, luego %s lo.
Unfortunately, digesting any of it is fatal.	Desafortunadamente, digerir cualquiera de ellos es fatal.
hurriedly regurgitate the sizzling in your %s.	vomitas apresuradamente el chisporroteo de tu %s.
digest %s.	digiere %s.
%s seems unharmed.	%s parece ileso.
%s can't see in there!	¡%s no puede ver ahi!
%s seems unhurt.	%s parece indemne.
%s seems mildly chilly.	%s parece algo friolento.
%s seems mildly hot.	%s parece algo acalorado.
Obviously, you didn't like %s taste.	Obviamente, no te gusto el sabor de %s.
pretend to be friendly to %s.	finge ser amigable con %s.
%sdon't budge.	%sno se mueve.
%s doesn't budge.	%s no se mueve.
%s %s %s %s with a %s %s!	¡%s %s %s %s con un %s %s!
%s %s %s.	%s %s %s.
grab %s!	¡agarra a %s!
strange attack of yours (%d)	ataque extrano tuyo (%d)
%s looks %s%s.	%s parece %s%s.
momentarily stiffen under %s gaze!	¡te quedas rigido bajo la mirada de %s!
%s cannot defend itself.	%s no puede defenderse.
That %s is really %s%c	Ese %s es realmente %s%c
%s picks up %s.	%s recoge %s.
%s intones:	%s intona:
sense a presence close by!	¡sientes una presencia cerca!
attempting to manipulate shrine data for non-priest?	intentando manipular datos de santuario para no sacerdote?
%s doesn't want anything to do with you!	¡%s no quiere tener nada que ver contigo!
%s breaks out of %s reverie!	¡%s sale de su ensenamento!
Begone!  Thou desecratest this holy place with thy presence.	¡Fuera!  Profanas este lugar sagrado con tu presencia.
%s gives you %s%s for an ale.	%s te da %s%s por una cerveza.
%s preaches the virtues of poverty.	%s predica las virtudes de la pobreza.
%s asks you for a contribution for the temple (base %ld).	%s te pide una contribucion para el templo (base %ld).
%s asks you for a contribution for the temple.	%s te pide una contribucion para el templo.
Thou shalt regret thine action!	¡Lamentaras tu accion!
I thank thee for thy contribution.	Te agradezco tu contribucion.
Thou art indeed a pious individual.	Eres sin duda un individuo piadoso.
Thou hast been rewarded for thy devotion.	Has sido recompensado por tu devocion.
Thy selfless generosity is deeply appreciated.	Tu generosidad desinteresada es profundamente agradecida.
%s roars in anger:  "Thou shalt suffer!"	%s ruge de rabia:  "¡Sufriras!"
%s voice booms:  "How darest thou harm my servant!"	La voz de %s retumba:  "¡Como te atreves a danar a mi siervo!"
%s roars:  "Thou dost profane my shrine!"	%s ruge:  "¡Profanas mi santuario!"
weapon_check %d for %s?	weapon_check %d para %s?
Since %s weapon%s %s,	Como el arma%s %s de %s,
%s cannot wield that %s.	%s no puede empunar ese %s.
%s %s to %s %s!	¡%s %s a %s %s!
%s %s in %s %s!	¡%s %s en %s %s!
Light begins shining %s.	La luz comienza a brillar %s.
%s gets %s.	%s recibe %s.
%s %s gets %s.	%s %s recibe %s.
%s dries%s.	%s se seca%s.
%s %s dries%s.	%s %s se seca%s.
forget %syour training in %s.	olvida %stu entrenamiento en %s.
weapon_dam_bonus: bad skill %d	weapon_dam_bonus: habilidad erronea %d
skill_init: curr > max: %s	skill_init: act > max: %s
%s in %s %s %s shining.	%s en %s %s %s brillando.
makemap_remove_mons: 'fmon' did not get emptied?	makemap_remove_mons: ¿'fmon' no se vacio?
%s:	%s:
%s is %s.	%s esta %s.
surreptitiously sniff under your %s.	olfateas subrepticiamente bajo tu %s.
%s to not give off any smell.	%s a no desprender ningun olor.
Timeout for %s %s %d.	Tiempo agotado para %s %s %d.
sanity_check: swallowed by nothing?	sanity_check: ¿tragado por la nada?
sanity_check: you over monster	sanity_check: tu sobre monstruo
current hero health (%d) better than maximum? (%d)	salud actual del heroe (%d) ¿mejor que la maxima? (%d)
current hero health as monster (%d) better than maximum? (%d)	salud actual del heroe como monstruo (%d) ¿mejor que la maxima? (%d)
current hero energy (%d) better than maximum? (%d)	energia actual del heroe (%d) ¿mejor que la maxima? (%d)
levl[%i][%i] vision blocking	levl[%i][%i] bloqueo de vision
%d mon%s pending for current level, %d for next level, %d for others.	%d mon%s pendiente para el nivel actual, %d para el siguiente, %d para otros.
down: no wall at %d,%d?	abajo: ¿sin muro en %d,%d?
down door from %d,%d going nowhere?	puerta abajo desde %d,%d ¿a ninguna parte?
up: no wall at %d,%d?	arriba: ¿sin muro en %d,%d?
right door from %d,%d going nowhere?	puerta derecha desde %d,%d ¿a ninguna parte?
left: no wall at %d,%d?	izquierda: ¿sin muro en %d,%d?
corridor in direction %d?	corredor en direccion %d?
left end of %d, %d never connected?	extremo izquierdo de %d, %d ¿nunca conectado?
up end of %d, %d never connected?	extremo superior de %d, %d ¿nunca conectado?
quest portal already gone?	¿portal de mision ya desaparecido?
Sorry to say, this is a mere imitation of the true Amulet of Yendor.	Lamento decirlo, esto es una mera imitacion del verdadero Amuleto de Yendor.
%s speaks:	%s habla:
quest_chat: Unknown quest character %s.	quest_chat: Personaje de mision desconocido %s.
Unfortunately, %s	Desafortunadamente, %s
fall asleep.	se duerme.
land.	aterriza.
no longer feel safe from acid.	ya no te sientes a salvo del acido.
no longer feel secure from petrification.	ya no te sientes a salvo de la petrificacion.
cough%s	tose%s
make a lot of noise!	¡hace mucho ruido!
%s %s out of your pack!	¡%s %s fuera de tu mochila!
%s %s %s like "%s%s"	%s %s %s como "%s%s"
%s hatch.	%s eclosiona.
%s %s out of %s!	¡%s %s fuera de %s!
egg hatched where? (%d)	¿donde eclosiono el huevo? (%d)
Egads!  %s bite%s your %s!	¡Cielos!  ¡%s muerde%s tu %s!
trip over %s.	tropezar con %s.
%s %s %s the ice.	%s %s %s el hielo.
lose your balance.	pierdes el equilibrio.
trip over your own %s.	tropezar con tu propio %s.
slip %s.	resbalar %s.
flounder.	se debate.
stumble.	tropieza.
let go of the reins.	suelta las riendas.
bang into the saddle-horn.	se golpea contra el cuerno de la silla.
slide to one side of the saddle.	se desliza a un lado de la silla.
%s flickers%s.	%s parpadea%s.
%s flicker%s.	%s parpadea%s.
%s lantern is getting dim.	la linterna de %s se esta apagando.
%spotion of oil has burnt away.	la pocion de aceite de %s se ha consumido.
%s seems about to go out.	%s parece estar a punto de apagarse.
%s about to go out.	%s a punto de apagarse.
%slantern has run out of power.	la linterna de %s se ha quedado sin energia.
%s has gone out.	%s se ha apagado.
%s go out.	%s se apaga.
%s%scandle%s getting short.	la vela%s de %s se esta acortando.
%scandle%s getting short.	vela%s de %s se esta acortando.
%s%scandle%s flame%s flicker%s low!	¡la llama%s de la vela%s de %s parpadea%s baja!
%scandle%s flame%s flicker low!	¡llama%s de vela%s de %s parpadea baja!
%scandelabrum's flame%s.	llama%s del candelabro de %s.
%s %s consumed!	¡%s %s consumido!
%s%s consumed!	¡%s%s consumido!
burn_object: unexpected obj %s	burn_object: obj inesperado %s
begin burn: unexpected %s	inicio de quemado: %s inesperado
begin_burn: can't get obj position	begin_burn: no se puede obtener la posicion del obj
end_burn: obj %s not lit	end_burn: obj %s no encendido
end_burn: obj %s not timed!	end_burn: obj %s no temporizado!
cleanup_burn: obj %s not lit	cleanup_burn: obj %s no encendido
Kaboom!!!  Boom!!  Boom!!	¡Kaboom!!!  ¡Boom!!  ¡Boom!!
no timer type	sin tipo de temporizador
timer sanity: untimed obj %s, timer %lu	cordura temporizador: obj sin tiempo %s, timer %lu
timer sanity: can't locate obj %s [where=%d], timer %lu	cordura temporizador: no se puede localizar obj %s [donde=%d], timer %lu
timer sanity: obj %s [where=%d] located at <%d,%d>, timer %lu	cordura temporizador: obj %s [donde=%d] en <%d,%d>, timer %lu
timer sanity: unexpected monster timer %lu	cordura temporizador: timer de monstruo inesperado %lu
timer sanity: melt timer %lu on non-ice %d <%d,%d>	cordura temporizador: timer de fusion %lu en no hielo %d <%d,%d>
timer sanity: spot timer %lu at <%d,%d>	cordura temporizador: timer de punto %lu en <%d,%d>
timer sanity: unexpected global timer %lu	cordura temporizador: timer global inesperado %lu
timer sanity: unknown timer %lu, type: %d	cordura temporizador: timer desconocido %lu, tipo: %d
Attempted to start duplicate %s, aborted.	Se intento iniciar duplicado %s, abortado.
Setworn: mask=0x%08lx.	Setworn: mascara=0x%08lx.
Two-weapon insanity: %s.	Locura de dos armas: %s.
%s %s %s %s for a moment.	%s %s %s %s por un momento.
%s %s to shine %s.	%s %s para brillar %s.
%s %s shining %s.	%s %s brillando %s.
%s begins to shine %s.	%s comienza a brillar %s.
